Barrio,Censo (1),Abstención,Total,Nulos,Total no nulos,Blanco,Total no nulos no blancos,PACMA,MAS MADRID,P.S.O.E.,PH,ULEG,Cs,FE de las JONS,PCAS-TC,PUM+J,P-LIB,P.P. ,PCTE,VOX,UPyD,PODEMOS-IU
56,13138,3242,9896,39,9857,52,9805,46,936,1638,4,1,2350,2,3,11,0,3505,2,1125,10,172
61,19607,7363,12244,39,12205,73,12132,73,2224,3381,8,0,2091,7,7,14,11,2755,8,899,17,637
62,26071,7605,18466,65,18401,84,18317,92,2083,3530,10,1,4003,7,5,16,13,5996,6,1946,21,588
63,15687,4538,11149,34,11115,52,11063,68,1142,1913,3,0,2435,6,6,8,7,3858,2,1304,9,302
64,16770,6769,10001,58,9943,40,9903,80,1802,2693,10,3,1696,4,4,8,4,2019,9,900,11,660
65,17265,6857,10408,54,10354,57,10297,79,2103,3015,9,2,1874,5,5,9,5,1754,9,777,11,640
66,16393,6118,10275,49,10226,44,10182,57,1911,2883,5,1,1735,4,4,13,3,2170,1,844,8,543
71,18241,4788,13453,47,13406,58,13348,57,1790,2710,4,0,2612,13,1,6,3,4324,4,1338,16,470
72,19238,5058,14180,47,14133,71,14062,63,2179,3170,6,2,2873,11,6,8,5,4011,4,1187,19,518
73,19030,5211,13819,30,13789,67,13722,60,2299,3061,6,1,2812,8,3,10,5,3727,2,1112,15,601
74,14950,3650,11300,15,11285,43,11242,31,828,1672,1,2,2262,7,2,5,6,4916,0,1315,6,189
75,21354,5481,15873,46,15827,69,15758,53,1915,3017,3,2,3568,7,3,5,10,5146,6,1536,24,463
76,16385,3549,12836,29,12807,44,12763,34,1232,1936,3,1,2787,6,4,21,3,4935,7,1516,10,268
81,2893,956,1937,11,1926,6,1920,16,179,350,0,0,389,6,0,0,0,559,3,347,2,69
82,2451,511,1940,2,1938,3,1935,7,50,189,1,0,405,0,0,3,0,1002,0,249,1,28
83,35212,9458,25754,90,25664,109,25555,101,3553,6632,11,2,5421,20,7,26,2,6608,11,2081,34,1046
84,36618,11747,24871,135,24736,123,24613,173,3630,7020,14,3,4475,13,11,26,4,6029,16,1877,20,1302
85,28209,6059,22150,52,22098,95,22003,87,2262,5026,8,0,5115,11,8,10,8,6908,8,1956,20,576
86,41115,12269,28846,84,28762,119,28643,167,4035,6599,16,0,7631,18,16,26,12,6125,14,2758,38,1188
87,23783,4825,18958,36,18922,86,18836,53,1625,3020,4,1,4915,9,1,17,8,6150,6,2516,22,489
88,11286,2689,8597,13,8584,33,8551,24,868,1392,1,1,2535,2,1,12,2,2295,6,1194,9,209
91,10540,2667,7873,30,7843,33,7810,46,1503,1937,3,1,1450,16,0,11,4,1882,7,584,16,350
92,18863,4896,13967,30,13937,50,13887,53,1819,2600,4,0,2658,7,2,12,6,4719,1,1557,43,406
93,12551,2834,9717,28,9689,43,9646,40,984,1729,5,1,2135,5,3,15,5,3414,7,970,9,324
94,22887,6652,16235,59,16176,93,16083,115,2681,4672,7,4,3017,7,12,12,5,3576,7,1063,17,888
95,4205,851,3354,5,3349,3,3346,5,65,221,1,0,808,2,0,1,2,1648,9,562,2,20
96,1958,449,1509,4,1505,2,1503,0,80,146,0,0,315,2,0,1,0,698,1,236,1,23
97,18608,3882,14726,27,14699,63,14636,37,1527,2306,3,1,3267,4,1,12,8,5336,5,1751,8,370
